"dataset","bootstrap_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_false_mse","unilasso_loo_false_support","polish_unilasso_mse","polish_unilasso_support","lasso_cv_mse","lasso_cv_support","unireg_mse","unireg_support","least_squares_mse","least_squares_support","oob_sample_count"
"airfoil_self-noise",1,24.1668504200717,5,24.1965080092623,5,24.1668907746492,5,41.8890843162735,1,24.1668504200718,5,24.1968271966145,5,283
"airfoil_self-noise",2,24.2221918244003,5,24.2503086605927,5,24.2223135936783,5,41.8425310291598,1,24.2225628218064,5,24.2512023674014,5,264
"airfoil_self-noise",3,24.2697748199785,5,24.1946092651403,5,24.2700067353075,5,41.6723700702961,1,24.2697748199785,5,24.1941728669744,5,293
"airfoil_self-noise",4,24.2320180450121,5,24.1819050556478,5,24.2320110441985,5,41.8235732650986,1,24.2309037948616,5,24.1806173634801,5,269
"airfoil_self-noise",5,24.1838718916963,5,24.2092460887154,5,24.1838608673776,5,41.7920488176811,1,24.1838718916963,5,24.2094894108493,5,276
"airfoil_self-noise",6,24.2490277291361,5,24.2184353834983,5,24.2490666886397,5,41.7725888089112,1,24.2490277291361,5,24.217950463916,5,275
"airfoil_self-noise",7,24.074232983045,5,24.0283560313977,5,24.0742031805479,5,41.7657036887559,1,24.0748250987424,5,24.0245509808933,5,270
"airfoil_self-noise",8,24.1305704982086,5,24.0810592443361,5,24.1302762899358,5,41.7268129597285,1,24.1301064757634,5,24.0793256460668,5,284
"airfoil_self-noise",9,24.0540525609087,5,24.0492975290633,5,24.054009407566,5,41.6851539694168,1,24.0535519986659,5,24.0492805580206,5,277
"airfoil_self-noise",10,24.5650089749294,5,24.5191739397421,5,24.5650026491095,5,41.7421188208338,1,24.5612945727644,5,24.5196408713893,5,278
"airfoil_self-noise",11,24.1562168543689,5,24.1181757294877,5,24.1562024247005,5,41.6859929897758,1,24.1567049181828,5,24.118526549106,5,266
"airfoil_self-noise",12,24.1730753795611,5,24.1895440568116,5,24.173018536645,5,41.8398595148727,1,24.1730753795611,5,24.1885818667866,5,264
"airfoil_self-noise",13,24.6296880115991,5,24.4655576515685,5,24.6294490970395,5,41.7447867168502,1,24.629688011599,5,24.46297937438,5,286
"airfoil_self-noise",14,24.1651207083218,5,24.2291088416221,5,24.1651648040104,5,41.7487042441147,1,24.1651207083218,5,24.2419514163331,5,271
"airfoil_self-noise",15,24.4766698993601,5,24.3478227252451,5,24.4772736100782,5,41.8606309326701,1,24.4742697616882,5,24.3430716567559,5,273
"airfoil_self-noise",16,24.1981844908867,5,24.1286499848478,5,24.1990839871277,5,41.6841813410272,1,24.1971483271647,5,24.1271619865133,5,257
"airfoil_self-noise",17,24.5346130145906,5,24.3982739538184,5,24.5341075974242,5,42.0468332402586,1,24.5337042704962,5,24.3781603783124,5,285
"airfoil_self-noise",18,24.0818382159721,5,24.0975953201192,5,24.0818581418243,5,41.7306403095715,1,24.0817949766058,5,24.1036802039736,5,281
"airfoil_self-noise",19,24.297382567233,5,24.1612054371171,5,24.2972834715393,5,41.8169215540863,1,24.2911117679436,5,24.1533316347952,5,273
"airfoil_self-noise",20,24.131942875021,5,24.1804273256574,5,24.1324771925082,5,41.7526516836281,1,24.1314188367785,5,24.1814321581335,5,272
"airfoil_self-noise",21,24.5244904363671,5,24.3505222062301,5,24.5240835368587,5,41.9973489238318,1,24.5214371552947,5,24.3467130172456,5,265
"airfoil_self-noise",22,24.3338737559552,5,24.2740905946394,5,24.333257716413,5,41.6664686478658,1,24.3348465726482,5,24.2735948571613,5,293
"airfoil_self-noise",23,24.4352852883699,5,24.1845035292073,5,24.435414038125,5,41.7440148623426,1,24.4369747486659,5,24.1799412880873,5,269
"airfoil_self-noise",24,24.255960815706,5,24.2217432840998,5,24.255595014949,5,41.8158222162161,1,24.2559608157059,5,24.222246480498,5,274
"airfoil_self-noise",25,24.223270756781,5,24.2020484372816,5,24.2242008832466,5,41.9019904681094,1,24.2210323394827,5,24.1994022678348,5,294
"airfoil_self-noise",26,24.1081539727805,5,24.1203527064145,5,24.1080720622542,5,42.1626347089368,1,24.1087285208618,5,24.1222037566928,5,258
"airfoil_self-noise",27,24.1991405801053,5,24.1651161063841,5,24.1991422362122,5,41.6889668134013,1,24.1981443204814,5,24.1648588811672,5,279
"airfoil_self-noise",28,24.0897763943849,5,24.0839826063062,5,24.0898966640261,5,41.9030059679371,1,24.089243799586,5,24.0838511784955,5,284
"airfoil_self-noise",29,24.0968399314859,5,24.0494032730677,5,24.0963473783042,5,41.7528097172589,1,24.097013194456,5,24.048966229238,5,261
"airfoil_self-noise",30,24.3968259023771,5,24.5077684996725,5,24.3970261854434,5,41.6718446203236,1,24.3969952236287,5,24.5099364305302,5,273
"airfoil_self-noise",31,24.6891293746066,5,24.6319633197504,5,24.6894044554619,5,42.1411535191455,1,24.6891293746066,5,24.6284943238979,5,287
"airfoil_self-noise",32,24.2420505304954,5,24.2853083525826,5,24.2429806529546,5,41.6890855959425,1,24.2426464248468,5,24.2892262389423,5,280
"airfoil_self-noise",33,24.4836730400128,5,24.2501856434906,5,24.4836399792907,5,41.8700658639332,1,24.4831001810413,5,24.2458359755321,5,260
"airfoil_self-noise",34,24.4531291942587,5,24.3820314007967,5,24.4525128079347,5,42.1061348232278,1,24.4561138225707,5,24.378252550556,5,278
"airfoil_self-noise",35,24.2434595705006,5,24.2606889161873,5,24.2432690723705,5,41.7070307838141,1,24.2434595705006,5,24.2613885318661,5,271
"airfoil_self-noise",36,24.1862441725808,5,24.141436319687,5,24.1854479092566,5,41.7497620394612,1,24.1850350707357,5,24.1316925741831,5,276
"airfoil_self-noise",37,24.4031460655238,5,24.3700902656764,5,24.4030228629316,5,42.1545670413362,1,24.4032961171426,5,24.3697762241024,5,270
"airfoil_self-noise",38,24.06441546748,5,24.0688538842604,5,24.0639530566892,5,41.6845664844825,1,24.06441546748,5,24.0688060400099,5,275
"airfoil_self-noise",39,24.1850006401306,5,24.1192469925093,5,24.1843295413881,5,41.8291844399947,1,24.1907407002695,5,24.1172520465085,5,270
"airfoil_self-noise",40,24.1393171654632,5,24.1232794300953,5,24.1393103212194,5,41.7080614451746,1,24.1392188617577,5,24.1229050657154,5,285
"airfoil_self-noise",41,24.3714818728868,5,24.4093201018897,5,24.3733292995717,5,41.6560822333093,1,24.3709003164263,5,24.4146330869767,5,305
"airfoil_self-noise",42,24.3019932726006,5,24.1938163294442,5,24.3022904665393,5,42.1499572748919,1,24.2999777418459,5,24.191980276107,5,284
"airfoil_self-noise",43,24.0329472066153,5,24.0380291224857,5,24.0334581033951,5,41.6565567247665,1,24.0329200963853,5,24.038366585373,5,267
"airfoil_self-noise",44,24.3287862086829,5,24.298350178118,5,24.3287002141694,5,41.9768318062713,1,24.3287862086829,5,24.2973516651791,5,287
"airfoil_self-noise",45,24.1220667460472,5,24.1050295895816,5,24.1220550783837,5,41.8309164602908,1,24.1220610227606,5,24.1054165377265,5,270
"airfoil_self-noise",46,24.1500800587321,5,24.1282893246735,5,24.1498247626127,5,41.8104155655735,1,24.1505661460135,5,24.1269619553183,5,292
"airfoil_self-noise",47,24.1007223807905,5,24.1303789181197,5,24.100717285508,5,42.1136871905932,1,24.0997938964962,5,24.1312326035257,5,273
"airfoil_self-noise",48,24.3514745226147,5,24.3687194292866,5,24.3517214464594,5,42.536444705758,1,24.3514896941466,5,24.3693955843651,5,265
"airfoil_self-noise",49,24.1055974349435,5,24.1115572270689,5,24.1056195973627,5,41.7840429285925,1,24.1055715882815,5,24.1119075544704,5,291
"airfoil_self-noise",50,24.2312687522975,5,24.2726714088387,5,24.2309879398275,5,41.6926393158004,1,24.2312363058526,5,24.2732795035312,5,271
"airfoil_self-noise",51,24.3858305940166,5,24.3579596120561,5,24.3858434343069,5,41.8745090165539,1,24.3842451325938,5,24.358230969575,5,267
"airfoil_self-noise",52,24.0456560860937,5,24.0692259821468,5,24.0456425404544,5,41.7001033419169,1,24.0456666704399,5,24.069982245654,5,282
"airfoil_self-noise",53,24.2911710142993,5,24.2152317685754,5,24.2907406965791,5,41.6981928649676,1,24.2900360705237,5,24.2101816064932,5,281
"airfoil_self-noise",54,24.4342669879608,5,24.1704580525835,5,24.4342933929617,5,41.82740636387,1,24.4602301486267,5,24.145283683575,5,271
"airfoil_self-noise",55,24.2836066936216,5,24.2223204421186,5,24.2818211834095,5,41.8058233951947,1,24.284805018415,5,24.2221875324494,5,261
"airfoil_self-noise",56,24.2488036070251,5,24.2716556557604,5,24.2496888633498,5,41.7386359677578,1,24.2488166809084,5,24.2754234331741,5,268
"airfoil_self-noise",57,24.2478858836203,5,24.2624691933539,5,24.2480425403001,5,41.7487887482264,1,24.2478738125722,5,24.2631159783457,5,280
"airfoil_self-noise",58,24.534132000093,5,24.492018388949,5,24.534565006586,5,41.9916761502058,1,24.5341320000931,5,24.4913760833412,5,283
"airfoil_self-noise",59,24.1475935677943,5,24.1752555843977,5,24.1476515020398,5,41.8558146979068,1,24.1465780491798,5,24.1846413777587,5,291
"airfoil_self-noise",60,24.330835466605,5,24.3413309882931,5,24.3309164161406,5,41.7210388924348,1,24.330835466605,5,24.3425537037827,5,282
"airfoil_self-noise",61,24.2049232937856,5,24.2678178364234,5,24.205833815373,5,41.8559938897229,1,24.2049232937856,5,24.2735623361335,5,279
"airfoil_self-noise",62,24.7378341475673,5,24.3264377863087,5,24.7382784523558,5,41.7656498501061,1,24.7393422791939,5,24.3217495988088,5,272
"airfoil_self-noise",63,24.7370530937868,5,24.6047868153471,5,24.7370368315849,5,42.1721422687381,1,24.7352322416048,5,24.6040453525767,5,285
